[dotenv@17.2.3] injecting env (56) from apps/mercato/.env -- tip: ⚙️  suppress all logs with { quiet: true }
  ✓    26 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-003.spec.ts:368:3 › TC-UMES-003: Events & DOM Bridge › TC-UMES-E07: onBeforeNavigate blocks blocked target and allows valid target (2.1s)
  ✓    27 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-003.spec.ts:401:3 › TC-UMES-003: Events & DOM Bridge › TC-UMES-E08: onVisibilityChange updates widget visibility state (1.3s)
  ✓    28 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-003.spec.ts:417:3 › TC-UMES-003: Events & DOM Bridge › TC-UMES-E09: onAppEvent fires from DOM bridge event (5.4s)
  ✘    29 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-003.spec.ts:450:3 › TC-UMES-003: Events & DOM Bridge › TC-UMES-E10: transformValidation keeps validation messages without widget prefix (35.9s)
  ✓    30 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-003.spec.ts:450:3 › TC-UMES-003: Events & DOM Bridge › TC-UMES-E10: transformValidation keeps validation messages without widget prefix (retry #1) (29.9s)
  ✓    31 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-003.spec.ts:469:3 › TC-UMES-003: Events & DOM Bridge › TC-UMES-E11: CrudForm emits onFieldChange automatically on input change (2.8s)
  ✓    32 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-003.spec.ts:497:3 › TC-UMES-003: Events & DOM Bridge › TC-UMES-E12: SSE user recipient isolation delivers only to the targeted user (6.5s)
  ✓    33 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-003.spec.ts:533:3 › TC-UMES-003: Events & DOM Bridge › TC-UMES-E13: SSE role recipient isolation delivers only to matching role members (6.2s)
  ✓    34 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-003.spec.ts:575:3 › TC-UMES-003: Events & DOM Bridge › TC-UMES-E14: SSE organization boundary drops events scoped to a different organization (4.3s)
  ✘    35 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-003.spec.ts:604:3 › TC-UMES-003: Events & DOM Bridge › TC-UMES-E15: Phase A/B harness shows injected menu items (551ms)
  ✓    36 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-003.spec.ts:604:3 › TC-UMES-003: Events & DOM Bridge › TC-UMES-E15: Phase A/B harness shows injected menu items (retry #1) (2.4s)
  ✓    37 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-003.spec.ts:616:3 › TC-UMES-003: Events & DOM Bridge › TC-UMES-E16: Phase A/B harness quick links navigate to target pages (3.6s)
  ✓    38 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-003.spec.ts:646:3 › TC-UMES-003: Events & DOM Bridge › TC-UMES-E17: Phase D harness probe returns enriched customer payload (2.9s)
  ✓    39 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-003.spec.ts:681:3 › TC-UMES-003: Events & DOM Bridge › TC-UMES-E18: blocked-save example prevents submit and reports save guard reason (1.8s)
  ✓    40 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-003.spec.ts:701:3 › TC-UMES-003: Events & DOM Bridge › TC-UMES-E19: transform-save example confirms and transforms payload before submit (1.8s)
  ✓    41 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-004.spec.ts:46:3 › TC-UMES-004: Phase E-H completion › TC-UMES-I01: interceptor before rejects blocked POST with 422 (42ms)
  ✓    42 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-004.spec.ts:54:3 › TC-UMES-004: Phase E-H completion › TC-UMES-I02: interceptor before allows valid POST (175ms)
  ✓    43 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-004.spec.ts:69:3 › TC-UMES-004: Phase E-H completion › TC-UMES-I03/I06: interceptor after merges metadata payload in GET response (97ms)
  ✓    44 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-004.spec.ts:81:3 › TC-UMES-004: Phase E-H completion › TC-UMES-I04: wildcard interceptor matches /example/todos (75ms)
  ✓    45 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-004.spec.ts:94:3 › TC-UMES-004: Phase E-H completion › TC-UMES-I05: interceptor query rewrite is revalidated by route schema (33ms)
  ✓    46 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-004.spec.ts:101:3 › TC-UMES-004: Phase E-H completion › TC-UMES-I08/I09: interceptor timeout and crash fail closed (173ms)
  ✓    47 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-004.spec.ts:117:3 › TC-UMES-004: Phase E-H completion › TC-UMES-I10: extension page probe reports interceptor metadata rows as ok (7.9s)
  ✓    48 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-004.spec.ts:130:3 › TC-UMES-004: Phase E-H completion › TC-UMES-I07: interceptor query rewrites remain tenant-safe for customer priority filter (426ms)
  -    49 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-004.spec.ts:163:3 › TC-UMES-004: Phase E-H completion › TC-UMES-D01/D02/D03/D04: DataTable extensions render column, row action, filters, and bulk action button
  -    50 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-004.spec.ts:203:3 › TC-UMES-004: Phase E-H completion › TC-UMES-D06: injected bulk action executes against selected rows
  -    51 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-004.spec.ts:252:3 › TC-UMES-004: Phase E-H completion › TC-UMES-D05: injected DataTable extensions are available for authorized employee role
  -    52 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-004.spec.ts:262:3 › TC-UMES-004: Phase E-H completion › TC-UMES-CF01/CF02/CF03/CF04/CF05: detail injection priority field save path and payload boundaries
  ✓    53 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-004.spec.ts:335:3 › TC-UMES-004: Phase E-H completion › TC-UMES-CR01/CR02/CR03: replacement handles and wrapper render (2.4s)
